hotel_name,city,area,rooms,category,phone,whatsapp,email,website,facebook_url,address,owner_name,manager_name,source,score,notes
Litchibari Eco Resort,Srimangal,Radhanagar,,resort,+8801322030429,,info@litchibariecoresort.com,https://litchibariecoresort.com,https://www.facebook.com/litchibariecoresort,Jerin Road Radhanagar Sreemangal,,,directory,78,independent cottage-style eco resort
Oronner Din Ratri Resort,Srimangal,Radhanagar,,resort,+8801708132522,,info@oronnerdinratri.com,https://oronnerdinratri.com,https://www.facebook.com/Oronner.Din.Ratri.2018,Radhanagar Bhanugarh Road Sreemangal,,,directory,78,single hotline number only
Paragon Hotel and Resort,Srimangal,Radhanagar,,resort,+8801325099966,,info@paragonresortbd.com,https://www.paragonresortbd.com,https://www.facebook.com/paragonresortbd,Radhanagar Sreemangal Moulvibazar,,,own website,77,five room categories; upmarket pricing
Hotel Holy City,Sylhet,Dargah Gate,,business,+8801644167163,,info@hotelholycitysylhet.com,https://hotelholycitysylhet.com,,Rasheed Emporium 2nd Floor East Dargah Gate Sylhet 3100,,,own website,77,only three room types published
Hotel Skypark,Srimangal,Chaumuhana,,business,+8801711966903,,hotelskypark.srg@gmail.com,https://skyparkbd.com,,Yaqub Shopping Center Chowmohona Sreemangal,,,own website,76,town-centre business hotel
Hotel Grand View,Sylhet,Zindabazar,,business,+8801404033002,,,,https://www.facebook.com/HotelGrandView,Symphony Heights Baruthkhana Point East Zindabazar,,,directory + facebook,76,operates two properties Grand View 1 and 2
Nishorgo Eco Resort,Srimangal,Radhanagar,,resort,,,info@nishorgocottage.com,https://nishorgocottage.com,https://www.facebook.com/Nishorgocottage,Radhanagar Sreemangal Moulvibazar,,,directory,75,phone left blank as listing duplicated another resort
All Season Lodge,Sylhet,Kashdobir,,guesthouse,+8801763946565,,,,https://www.facebook.com/AllSeasonLodgeBD,40 Torango Airport Road Kashdobir Point Sylhet,,,directory + facebook,75,airport-road lodge; active facebook page
Panshi Inn,Sylhet,North Jail Road,,business,+8801710809337,,,,,W Tower North Jail Road Sylhet,,,directory,74,attached to well-known Panshi restaurant brand
Hotel Rajmahal,Sylhet,Zindabazar,,business,+8801716968847,,,,,Jallarpar Road Zindabazar Sylhet,,,directory,74,central Zindabazar location
Mukta Nagar Resort,Moulvibazar,Sherpur,,resort,+8801776436421,,muktanagarresort@gmail.com,,,Sherpur Pitura Dhaka-Moulvibazar Highway,,,directory,74,highway-side independent resort
Patrasnan Eco Resort,Srimangal,Mohajerabad,,resort,+8801784675166,,patrasnanaecoresortbd@gmail.com,,https://www.facebook.com/patrasnanaecoresort,Mohazirabod Sreemangal Moulvibazar,,,directory,73,facebook-first operation; three contact numbers
La Rose Hotel,Sylhet,Dargah Gate,,business,+8801966616661,,,,,16 Ornob West Dorga Gate Mirer Moidan Point Sylhet 3100,,,directory,73,pilgrim-traffic hotel near shrine
Hotel Crown Park,Sylhet,Kumarpara,43,business,,,,https://hotelcrownparkltd.com,https://www.facebook.com/hotelcrownparkltd,52a Kumarpara Road Sylhet City 3100,,,tripadvisor + own site,72,43 rooms with rooftop pool; phone unverified
Nazimgarh Garden Resort,Sylhet,Khadimnagar,,resort,+8801747200100,,,https://www.nazimgarh.com,https://www.facebook.com/sylhetresorts,Khadimnagar Sylhet 3100,,,own website,72,group runs three properties; may already use a PMS
Hotel Supreme,Sylhet,Mirabazar,,business,+8801711197012,,,,,East Tamabil Road Mirabazar Sylhet 3100,,,directory,72,long list of sequential mobile lines
Tilagaon Eco Village,Moulvibazar,Kamalganj,,resort,+8801896178151,,tilagaonecovillage@gmail.com,,,Tilagaon Kamalganj Moulvibazar,,,directory,71,near Lawachara forest; gmail-only contact
Excelsior Sylhet Hotel and Resort,Sylhet,Khadimnagar,,resort,+8801711436856,,,,,Ex Zakariya City Doloipara Khadimnagar Sylhet 3100,,,directory,70,suburban resort-style property
Nirjon Natures Hideout,Srimangal,Radhanagar,,resort,+8801727135520,,nirjonnature@gmail.com,,,Bishmani Radhanagar Sreemangal,,,directory,70,small owner-run hideout
Hotel Golden City,Sylhet,Zindabazar,,business,+8801714674738,,,,https://www.facebook.com/golgencitysyl,Jail Road East Zindabazar Sylhet,,,directory + facebook,70,facebook page is main online presence
Hotel Metro International,Sylhet,Bandar Bazar,,business,+8801731533733,,,,https://www.facebook.com/hotelmetrointernational,Dhupadighirpar South East Bandar Bazar Sylhet 3100,,,directory,69,older established city hotel
Hotel Western Plaza,Moulvibazar,Central Road,,business,+8801712150650,,,,,Central Road Moulvibazar Sadar,,,directory,68,main town-centre hotel
Grand Palace Sylhet,Sylhet,Zindabazar,,business,+8801713558866,,,https://grandpalacebd.com,https://www.facebook.com/GrandPalaceSylhet,Jallarpar Road Zindabazar Sylhet,,,directory + facebook,68,small local group with second property
Taj Metro Hotel,Moulvibazar,Saiful Rahman Road,,business,+8801326405234,,,,,M Saiful Rahman Road Moulvibazar,,,directory,68,newer town hotel
Hillside Holiday Homes,Sylhet,Barshala,,guesthouse,+8801922099991,,,,,67 Airport Road Barshala Sylhet 3100,,,directory,67,airport-road serviced homes
Bottom Hill Palace Hotel,Sylhet,Dargah Gate,,business,+8801700763512,,,,,Waves 1/E Dargah Gate Sylhet 3100,,,directory,66,small independent near shrine
Hotel Star Pacific,Sylhet,Dargah Gate,,business,+8801777799466,,,https://www.hotelstarpacific.com,,982 East Dargah Gate Sylhet,,,directory + own site,65,larger and more polished; may already be systemised
Haor Bilash Guest House,Sunamganj,Hajirpara,,guesthouse,+8801716388439,,,http://www.haorbilash.com,,Basundhara A/A Hajirpara Sunamganj,,,directory,64,best-rated property in Sunamganj town
Hotel Royal Inn,Sunamganj,Old Bus Station,,budget,+8801792873355,,,,,Old Bus Station Sunamganj Sadar,,,directory,58,haor tourism gateway; likely fully manual
Hotel Mizan Residential,Sunamganj,Jagannathbari Road,,budget,+8801765308848,,,,,Jagannathbari Road Sunamganj Sadar,,,directory,55,small residential hotel
Well Park Residence Boutique Hotel and Suites,Chittagong,GEC Circle,,boutique,+8801841735555,,reservation@wellparkbd.com,https://www.wellparkbd.com,https://www.facebook.com/wellparkbd,Road 01 Plot 02 O.R. Nizam Road Chittagong,,,own website,88,independent boutique; own site with spa and restaurant
Orchid Business Hotel,Chittagong,Agrabad,45,business,+8801321234601,,reservation@orchidbusinesshotel.com,https://www.orchidbusinesshotel.com,https://www.facebook.com/p/Orchid-Business-Hotel-100070590874451,1739 Sheikh Mujib Road Agrabad Chattogram,,,own website,92,45 rooms independent business hotel; ideal size band
Hotel White Park Boutique Hotel,Chittagong,Dampara,,boutique,+8801810004590,,whitepark.ctg@gmail.com,https://hotelwhitepark.com,,M.M Ali Road Dampara Chittagong,,,own website,90,gmail address on own site signals paper-run ops
Ambassador Residency,Chittagong,O.R. Nizam Road,,business,+8801751377222,,info@ambassadorresidency.com,https://www.ambassadorresidency.com,https://www.facebook.com/Ambassadorresidencychittagong,House 23 Road 2 O.R. Nizam Road Chattogram 4100,,,own website,86,independent; second gmail contact also published
Aristos Boutique Hotel,Chittagong,Zakir Hossain Road,,boutique,+8801820524413,,,https://www.aristosboutiquehotel.com,,House 3 Road 3 Zakir Hossain Road Chittagong,,,google maps,84,small independent boutique on Zakir Hossain Road
Hotel Agrabad,Chittagong,Agrabad,,business,+8801766665163,,info@agrabadhotel.com,https://agrabadhotel.com,https://www.facebook.com/HotelAgrabadChattogram,Sabder Ali Road Agrabad C/A Chattogram,,,own website,72,legacy independent property; has Dhaka sales office
Hotel Saint Martin Limited,Chittagong,Agrabad,,business,+8801766111666,,,http://www.hotelsaintmartin.com.bd,https://www.facebook.com/hotelsaintmartinltd,25-33 Sheikh Mujib Road Agrabad C/A Chittagong 4100,,,own website,82,independent 3-star business hotel
The Avenue Hotel and Suites,Chittagong,Lalkhan Bazar,,business,+8801859637477,,,,,Ispahani Moor Lalkhan Bazar Chittagong 4150,,,google maps,80,independent business hotel near Ispahani Moor
Hotel Lords Inn,Chittagong,East Nasirabad,,business,+880312552671,,,,,Hosna Kalam Complex CDA Avenue East Nasirabad Chittagong,,,hotel directory,74,landline only verified; opposite Sunmar Ocean City
Royal Park Residential Hotel,Chittagong,GEC Circle,,business,+8801817712355,,,,,1702 CDA Avenue GEC Circle Nasirabad Chittagong,,,google maps,78,GEC circle location; residential hotel format
Hotel Al-Faisal International Ltd,Chittagong,Nur Ahmed Road,,business,+8801678060003,,,,,1050 Nur Ahmed Road Jubilee Road Chittagong 4000,,,google maps,76,long-established independent
Jatra Flagship Chattogram City Centre,Chittagong,GEC Circle,,business,+8801309552872,,,,,GEC More Muhammad Ali Road Chittagong,,,hotel directory,66,franchise-managed under Jatra brand
Asian SR Hotel,Chittagong,Station Road,,budget,+8801711889555,,,,,291 Station Road Chittagong 4000,,,google maps,64,busy station road budget property
Hotel Tower Inn International Ltd,Chittagong,Jubilee Road,,budget,+8801733393211,,,,,183 Jubilee Road Chittagong 4000,,,google maps,62,independent mid-budget
Golden Inn Chattagram Ltd,Chittagong,Station Road,,budget,+8801711819025,,,,https://www.facebook.com/goldeninnltd,336 Station Road Chittagong 4100,,,google maps,62,active facebook page; no own website found
Naba Inn Guest House,Chittagong,O.R. Nizam Road,,guesthouse,+8801795779900,,,,,Road 5 House 60 O.R. Nizam Road R/A Chittagong 4000,,,google maps,58,small guesthouse in residential area
Meridian Hotel and Restaurant,Chittagong,CDA Avenue,,budget,+8801709662929,,,,,1367 CDA Avenue Chittagong,,,google maps,58,hotel plus restaurant operation
Sea World Foys Lake Resort,Chittagong,Foys Lake,,resort,+8801819486001,,,,,Foys Lake Zakir Hossain Road Chittagong 4201,,,google maps,66,leisure resort inside city limits
Sairu Hill Resort,Bandarban,Chimbuk Road,,resort,+8801847417301,,,https://sairuresort.com,https://www.facebook.com/sairuresort,Baro Mile Chimbuk Road Y Junction Shualock Bandarban 4600,,,own website,88,premium independent hill resort; six room categories
Nilgiri Hill Resort,Bandarban,Nilgiri,8,resort,+8801769299999,,,https://nilgiriresortbd.com,https://www.facebook.com/p/Nilgiri-Hill-Resort-Official-100090710895765,Bandarban-Thanchi Road Nilgiri Bandarban,,,hotel directory,76,8 cottages at 2400 ft; army-linked operation
Nilachal Nilambori Resort,Bandarban,Nilachal,6,resort,+8801551444000,,,,,Nilachal Tourism Complex Bandarban 4830,,,hotel directory,70,only 6 rooms; couple-only policy
Hotel Night Heaven,Bandarban,Meghla,,resort,+8801876000444,,,http://www.hotelnightheaven.com,,Talukdar Para Meghla Parjatan Area Bandarban 4600,,,hotel directory,80,own website; independent operator near Meghla
Green Peak Resort,Bandarban,Meghla,,resort,+8801845776633,,,http://www.greenpeakresort.com,,Meghla Chittagong-Bandarban Highway Bandarban,,,hotel directory,82,own site plus separate Dhaka booking office
Hillside Resort Milonchori,Bandarban,Milonchori,,resort,+8801730045050,,,,,Bandarban-Thanchi Road Milonchori Bandarban 4600,,,hotel directory,80,long-running eco resort; separate Dhaka booking line
Fanush Resort,Bandarban,Nilachal Road,,resort,+8801845779999,,,http://www.fanushresort.com,,Nilachal Road Bandarban,,,hotel directory,80,independent resort with own website
Venus Resort and Coffee House,Bandarban,Meghla,,resort,+8801552808000,,,http://www.venusresortbd.com,,Meghla Chittagong-Bandarban Highway Bandarban 4600,,,hotel directory,80,resort plus coffee house; wide rate band
Forest Hill Resort,Bandarban,Milonchori,,resort,+8801716406123,,,http://www.foresthillresortbd.com,,Bandarban-Thanchi Road Milonchori Bandarban,,,hotel directory,82,three published booking mobiles; own website
Bono Nibash Hill Resort,Bandarban,Milonchori,,resort,+8801725159415,,,http://www.bandarbanbononibas.com,,Chimbuk Road Milonchori Bandarban,,,hotel directory,80,independent hill resort with own site
Hill Palace Resort,Bandarban,Meghla,,resort,,,,,,Meghla Lake Square Talukdar Para Bandarban,,,hotel directory,74,PHONE CONFLICT - directory number matched Hotel Sea Alif Coxs Bazar; verify before dialling
Hotel Hillton Residence,Bandarban,Islampur Road,,business,+8801747626111,,,,,Officers Club Islampur Road Bandarban 4600,,,hotel directory,72,in-town residence hotel; two booking mobiles
Hotel Plaza Bandarban,Bandarban,Army Para,,business,+8801678060107,,,http://www.plazabandarban.com,,Ward 7 Army Para Bandarban,,,hotel directory,78,town centre hotel with own website
Hotel Hill View Bandarban,Bandarban,Bus Stand,,business,+8801828866000,,,http://hotelhillviewbandarban.com,,N108 near bus stand Bandarban 4600,,,hotel directory,76,own website; town centre
Hotel River View Bandarban,Bandarban,Sangu Riverside,,business,+8801733115585,,,http://www.hotelriverviewbandarban.com,,Sodok O Jonopod Road Sangu riverside Bandarban 4600,,,hotel directory,76,riverside town hotel with own site
Hotel Hill Queen,Bandarban,Sadar Road,,budget,+8801912782398,,,,,Sadar Road Bandarban,,,hotel directory,60,town centre budget hotel
Aronnak Holiday Resort,Rangamati,Circuit House area,,resort,+8801769312021,,,,,Near Circuit House Rangamati,,,hotel directory,80,premium lake-district resort; two booking mobiles
Lakeshore Resort Kaptai,Rangamati,Kaptai,,resort,+8801859778065,,,,,Kaptai Rangamati,,,hotel directory,76,lakeside resort at Kaptai
Polwel Park and Cottage,Rangamati,DC Bungalow Road,,resort,+8801877725541,,,,,DC Banglow Road Rangamati,,,hotel directory,74,cottage-style resort; police welfare linked
Wildwood Island Resort,Rangamati,Diglibag,,resort,+8801833334309,,,,,Diglibag Rangamati,,,hotel directory,76,island resort on Kaptai lake
The Borgaang Resort,Rangamati,Rangamati-Kaptai Road,,resort,+8801821827938,,,,,Rangamati-Kaptai Road Rangamati,,,hotel directory,74,roadside lake resort
Hill Taj Resort,Rangamati,C.O. Office Ghat,,resort,+8801581495565,,,,,C.O. Office Ghat Rangamati,,,hotel directory,74,three published booking mobiles
Divine Lake Island,Rangamati,Asambosti,,resort,+8801611585887,,,,,Kaptai Road Ashambosti Rangamati,,,hotel directory,72,island-style lake resort
Lake View Island,Rangamati,Kaptai Lake,,resort,+8801769322182,,,,,Kaptai Lake Rangamati,,,hotel directory,72,three published booking mobiles
Nilanjana Boat Club and Resort,Rangamati,Parjatan Complex,,resort,+8801833334311,,,,,Parjatan Complex Rangamati,,,hotel directory,70,boat club plus resort operation
Hotel Nadisa International,Rangamati,Reserve Bazar,,business,+8801866609991,,,,,New Bus Station Reserve Bazar Rangamati,,,hotel directory,66,mid-range town hotel
Hotel Square Park,Rangamati,Old Bus Stand,,business,+8801716933833,,,,,Doyel Cattar Old Bus Stand Rangamati,,,hotel directory,62,mid-range town hotel
Hotel Jum Palace,Rangamati,T and T Area,,business,+8801625100000,,,,,T and T Area Rangamati,,,hotel directory,64,mid-range town hotel
Hotel Crown Plaza Rangamati,Rangamati,Parjatan Road,,business,+8801824637393,,,,,Omda Miah Hill Parjatan Road Rangamati,,,hotel directory,64,unrelated to Crowne Plaza chain
Hotel Green Castle,Rangamati,Reserve Bazar,,business,+8801726511532,,,,,Reserve Bazar Rangamati,,,hotel directory,62,established town hotel
Hotel Needs Hill View,Rangamati,Banarupa,,business,+8801833360333,,,,,Alif Market Bonorupa Rangamati,,,hotel directory,60,hill view town hotel
Hotel Hill Address,Rangamati,Reserve Bazar,,business,+8801866609400,,,,,Reserve Bazaar Rangamati,,,hotel directory,60,mid-range town hotel
